Time - Ascan,Amplitude - Ascan
55.65,0
55.72,0
55.8,0
55.87,0
55.94,0
56.02,0
56.09,0
56.17,1
56.24,1
56.31,1
56.39,1
56.46,1
56.54,1
56.61,2
56.68,3
56.76,4
56.83,3
56.91,0
56.98,4
57.05,8
57.13,0
57.2,23
57.28,29
57.35,50
57.42,3
57.5,100
57.57,100
57.65,41
57.72,12
57.79,100
57.87,100
57.94,10
58.01,64
58.09,100
58.16,97
58.24,16
58.31,13
58.38,10
58.46,0
58.53,22
58.61,29
58.68,21
58.75,18
58.83,5
58.9,6
58.98,0
59.05,1
59.12,17
59.2,18
59.27,9
59.35,8
59.42,0
59.49,6
59.57,0
59.64,14
59.72,6
59.79,1
59.86,49
59.94,50
60.01,3
60.09,44
60.16,93
60.23,72
60.31,1
60.38,80
60.46,48
60.53,38
60.6,0
60.68,28
60.75,9
60.83,6
60.9,0
60.97,0
61.05,6
61.12,6
61.2,0
61.27,1
61.34,4
61.42,4
61.49,3
61.57,3
61.64,0
61.71,3
61.79,1
61.86,0
61.93,4
62.01,10
62.08,4
62.16,1
62.23,36
62.3,36
62.38,0
62.45,40
62.53,66
62.6,1
62.67,57
62.75,62
62.82,12
62.9,4
62.97,30
63.04,28
63.12,6
63.19,4
63.27,0
63.34,0
63.41,5
63.49,1
63.56,6
63.64,7
63.71,14
63.78,12
63.86,0
63.93,2
64.01,6
64.08,6
64.15,2
64.23,2
64.3,1
64.38,0
64.45,2
64.52,4
64.6,20
64.67,3
64.75,28
64.82,44
64.89,23
64.97,2
65.04,46
65.12,47
65.19,4
65.26,2
65.34,23
65.41,20
65.49,4
65.56,0
65.63,4
65.71,4
65.78,0
65.85,5
65.93,0
66.0,3
66.08,10
66.15,9
66.22,0
66.3,3
66.37,4
66.45,4
66.52,3
66.59,3
66.67,0
66.74,0
66.82,5
66.89,6
66.96,12
67.04,1
67.11,22
67.19,32
67.26,16
67.33,2
67.41,35
67.48,36
67.56,6
67.63,0
67.7,20
67.78,19
67.85,7
67.93,0
68.0,6
68.07,7
68.15,1
68.22,0
68.3,2
68.37,1
68.44,6
68.52,6
68.59,0
68.67,2
68.74,2
68.81,2
68.89,3
68.96,4
69.04,3
69.11,0
69.18,4
69.26,5
69.33,10
69.41,1
69.48,16
69.55,22
69.63,12
69.7,1
69.78,26
69.85,27
69.92,5
70.0,2
70.07,15
70.14,15
70.22,7
70.29,6
70.37,0
70.44,4
70.51,2
70.59,1
70.66,3
70.74,4
70.81,6
70.88,0
70.96,6
71.03,6
71.11,1
71.18,0
71.25,1
71.33,0
71.4,2
71.48,0
71.55,4
71.62,6
71.7,5
71.77,0
71.85,12
71.92,16
71.99,8
72.07,1
72.14,18
72.22,19
72.29,2
72.36,1
72.44,12
72.51,11
72.59,3
72.66,2
72.73,0
72.81,2
72.88,1
72.96,1
73.03,3
73.1,4
73.18,6
73.25,0
73.33,6
73.4,7
73.47,4
73.55,4
73.62,0
73.7,0
73.77,1
73.84,1
73.92,6
73.99,6
74.06,4
74.14,0
74.21,9
74.29,12
74.36,6
74.43,1
74.51,13
74.58,14
74.66,0
74.73,2
74.8,10
74.88,8
74.95,0
75.03,1
75.1,1
75.17,1
75.25,0
75.32,0
75.4,2
75.47,3
75.54,5
75.62,0
75.69,4
75.77,6
75.84,4
75.91,4
75.99,1
76.06,0
76.14,1
76.21,2
76.28,6
76.36,6
76.43,2
76.51,0
76.58,9
76.65,10
76.73,4
76.8,0
76.88,12
76.95,12
77.02,0
77.1,2
77.17,9
77.25,8
77.32,1
77.39,0
77.47,2
77.54,2
77.62,1
77.69,1
77.76,2
77.84,2
77.91,2
77.98,0
78.06,2
78.13,3
78.21,2
78.28,2
78.35,1
78.43,1
78.5,0
78.58,0
78.65,5
78.72,5
78.8,2
78.87,0
78.95,8
79.02,9
79.09,5
79.17,0
79.24,9
79.32,10
79.39,2
79.46,0
79.54,6
79.61,6
79.69,1
79.76,0
79.83,0
79.91,0
79.98,1
80.06,1
80.13,2
80.2,2
80.28,1
80.35,0
80.43,2
80.5,3
80.57,1
80.65,1
80.72,0
80.8,0
80.87,1
80.94,0
81.02,3
81.09,4
81.17,2
81.24,0
81.31,5
81.39,6
81.46,3
81.54,0
81.61,6
81.68,7
81.76,2
81.83,0
81.91,4
81.98,3
82.05,1
82.13,1
82.2,1
82.27,0
82.35,1
82.42,2
82.5,2
82.57,2
82.64,0
82.72,1
82.79,4
82.87,4
82.94,0
83.01,0
83.09,1
83.16,1
83.24,0
83.31,0
83.38,2
83.46,2
83.53,0
83.61,0
83.68,4
83.75,5
83.83,2
83.9,0
83.98,5
84.05,5
84.12,0
84.2,0
84.27,3
84.35,2
84.42,0
84.49,0
84.57,1
84.64,0
84.72,1
84.79,1
84.86,2
84.94,2
85.01,0
85.09,1
85.16,2
85.23,2
85.31,1
85.38,1
85.46,0
85.53,0
85.6,1
